step,split,mean_reward,reward_std,best_group_reward,worst_group_reward,mean_ce_component,mean_compute_penalty,mean_kl,mean_advantage,advantage_std,policy_loss,total_policy_loss,routing_entropy,clip_fraction,mean_probability_ratio,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,val_loss,val_perplexity,val_accuracy,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,validation_time_sec
330,grpo_train,-1.3339413404464722,0.0839405357837677,-1.3298766613006592,-1.3375252485275269,1.2343533039093018,0.09958801418542862,0.00011564486339921132,-7.694587111473083e-06,0.9994686841964722,7.611699402332306e-06,8.768148290982936e-06,0.021166089922189713,0.0,1.000000238418579,7.778506633089102e-05,0.001090726931579411,0.001090726931579411,0.0,1355776,0.5536157498136163,7398.633440936218,,,,,,,,,
340,grpo_train,-1.4155117273330688,0.22410832345485687,-1.411531686782837,-1.4194344282150269,1.3158869743347168,0.0996246337890625,0.00013509034761227667,2.253265120089054e-05,0.9993830919265747,-2.2686144802719355e-05,-2.1335241399356164e-05,0.020847558975219727,0.0,1.0,7.655492361901429e-05,0.0032931410241872072,0.0032931410241872072,0.0,1396736,0.5828948747366667,7026.996080297399,,,,,,,,,
350,grpo_train,-1.3960442543029785,0.11993055790662766,-1.3928147554397583,-1.3997820615768433,1.296480655670166,0.0995635986328125,0.0001343093899777159,3.4011900424957275e-06,0.9994392395019531,-3.807712346315384e-06,-2.4646183192089666e-06,0.020910631865262985,0.0,0.9999998211860657,7.530350879988308e-05,0.0022791214287281036,0.0022791214287281036,0.0,1437696,0.8593336250633001,4766.484029643645,,,,,,,,,
360,grpo_train,-1.5035512447357178,0.22603030502796173,-1.5006117820739746,-1.5079023838043213,1.4039723873138428,0.099578857421875,0.00012877829431090504,-1.2507662177085876e-06,0.999616801738739,1.201871782541275e-06,2.4896546619856963e-06,0.020629506558179855,0.0,0.9999997615814209,7.403205686883872e-05,0.0012422270374372602,0.0012422270374372602,0.0,1478656,0.5587083748541772,7331.194920908524,,,,,,,,,
370,grpo_train,-1.4004958868026733,0.21030257642269135,-1.3972764015197754,-1.403908610343933,1.3008713722229004,0.0996246337890625,0.00012260732182767242,2.1826475858688354e-05,0.9993125200271606,-2.182088792324066e-05,-2.059481448668521e-05,0.020803630352020264,0.0,0.9999998807907104,7.274182259543288e-05,0.001239684410393238,0.001239684410393238,0.0,1519616,0.5596868339926004,7318.37833450653,,,,,,,,,
380,grpo_train,-1.4257169961929321,0.09450379759073257,-1.4210435152053833,-1.4300086498260498,1.32615327835083,0.0995635986328125,0.00011599437857512385,-5.383044481277466e-06,0.9995861649513245,5.535781383514404e-06,6.6957250055565964e-06,0.021226678043603897,0.0,0.9999998211860657,7.143407928512154e-05,0.001586239319294691,0.001586239319294691,0.0,1560576,0.6050564590841532,6769.616187884238,,,,,,,,,
390,grpo_train,-1.2993605136871338,0.12374264001846313,-1.2968569993972778,-1.3019731044769287,1.1997816562652588,0.099578857421875,0.00011597343836911023,1.0812655091285706e-05,0.9994177222251892,-1.0974821634590626e-05,-9.815087651077192e-06,0.021889634430408478,0.0,1.0,7.011011752266625e-05,0.0020347260870039463,0.0020347260870039463,0.0,1601536,0.5822026249952614,7035.351309234199,,,,,,,,,
399,validation,,,,,,,,,,,,0.02184978239238262,,,,,,,,,,1.5183556795120239,4.564713169359675,0.547314453125,0.9955024987459182,1.0,8.0,1.0,0.0,0.5484117078594863
400,grpo_train,-1.2675096988677979,0.1461922824382782,-1.264663577079773,-1.2703185081481934,1.167952299118042,0.09955748915672302,0.00011074039503000677,2.016313374042511e-05,0.999431848526001,-2.0077917724847794e-05,-1.897051333799027e-05,0.021778356283903122,0.0,0.9999998211860657,6.877124389848268e-05,0.0014761623460799456,0.0014761623460799456,0.0,1642496,0.47394141694530845,8642.418352884039,,,,,,,,,
410,grpo_train,-1.2970619201660156,0.15596383810043335,-1.2944908142089844,-1.3003380298614502,1.1974983215332031,0.0995635986328125,0.00012362186680547893,8.542090654373169e-06,0.9994863271713257,-8.610077202320099e-06,-7.373858352366369e-06,0.021581361070275307,0.0,1.0000001192092896,6.741877971919374e-05,0.0011094718938693404,0.0011094718938693404,0.0,1683456,0.6143014589324594,6667.736077199099,,,,,,,,,
420,grpo_train,-1.4451754093170166,0.10847862809896469,-1.440550684928894,-1.4488866329193115,1.345611810684204,0.0995635986328125,0.00013289644266478717,-9.739771485328674e-06,0.9995633363723755,9.740237146615982e-06,1.1069201718783006e-05,0.021022677421569824,0.0,1.0,6.605405970365939e-05,0.0013023467035964131,0.0013023467035964131,0.0,1724416,0.6714835413731635,6099.926130168142,,,,,,,,,
430,grpo_train,-1.5023624897003174,0.14026924967765808,-1.4983115196228027,-1.5064678192138672,1.4028171300888062,0.09954528510570526,0.00014029743033461273,9.221956133842468e-06,0.9995386004447937,-9.136274456977844e-06,-7.73330066294875e-06,0.02068263664841652,0.0,0.9999997615814209,6.467843066577033e-05,0.002292661927640438,0.002292661927640438,0.0,1765376,0.5960567910224199,6871.828425902347,,,,,,,,,
440,grpo_train,-1.3970767259597778,0.11264555156230927,-1.3947136402130127,-1.3994038105010986,1.2975040674209595,0.09957275539636612,0.0001287198392674327,5.72623685002327e-06,0.9993304014205933,-5.874549970030785e-06,-4.587351668305928e-06,0.020792759954929352,0.0,1.0,6.329325018530526e-05,0.004110127221792936,0.004110127221792936,0.0,1806336,0.6067462079226971,6750.763245844388,,,,,,,,,
450,grpo_train,-1.438050627708435,0.240753173828125,-1.4333722591400146,-1.4428818225860596,1.3385145664215088,0.09953613579273224,0.00011891336180269718,1.0563060641288757e-05,0.9996402859687805,-1.12093985080719e-05,-1.0020265108323656e-05,0.021009519696235657,0.0,1.0000004768371582,6.18998852681635e-05,0.003963536117225885,0.003963536117225885,0.0,1847296,0.5865072081796825,6983.7163855369845,,,,,,,,,
460,grpo_train,-1.248112440109253,0.1667885035276413,-1.246087908744812,-1.2504549026489258,1.148539662361145,0.09957275539636612,0.00012002683070022613,2.952711656689644e-05,0.9990507364273071,-3.0131544917821884e-05,-2.8931277483934537e-05,0.021368760615587234,0.0,1.0,6.0499710997295305e-05,0.00564642995595932,0.00564642995595932,0.0,1888256,0.7722417078912258,5304.03882378358,,,,,,,,,
470,grpo_train,-1.3855717182159424,0.11860924959182739,-1.3829066753387451,-1.3892863988876343,1.2859958410263062,0.09957580268383026,0.00012991245603188872,1.1969008482992649e-05,0.99931401014328,-1.2164789950475097e-05,-1.0865665899473242e-05,0.020814523100852966,0.0,1.0,5.9094109175660917e-05,0.001851928886026144,0.001851928886026144,0.0,1929216,0.6181284999474883,6626.453885151657,,,,,,,,,
480,grpo_train,-1.4780795574188232,0.129354327917099,-1.4754738807678223,-1.480837345123291,1.378558874130249,0.09952087700366974,0.0001382108748657629,-5.586422048509121e-06,0.9992086887359619,5.010340828448534e-06,6.392449449776905e-06,0.020498888567090034,0.0,0.9999995231628418,5.768446696255794e-05,0.004673402290791273,0.004673402290791273,0.0,1970176,0.56829574983567,7207.514751226648,,,,,,,,,
490,grpo_train,-1.3729811906814575,0.2412145584821701,-1.3698854446411133,-1.3772355318069458,1.2734358310699463,0.09954528510570526,0.00014331054990179837,-9.943032637238503e-06,0.9995157718658447,9.930343367159367e-06,1.1363448720658198e-05,0.020511943846940994,0.0,1.0000004768371582,5.627217550466253e-05,0.0008194838301278651,0.0008194838301278651,0.0,2011136,1.320305165834725,3102.3130909363836,,,,,,,,,
499,validation,,,,,,,,,,,,0.020274206809699536,,,,,,,,,,1.5183556795120239,4.564713169359675,0.547314453125,0.9959215015172959,1.0,8.0,1.0,0.0,0.6246406249701977
500,grpo_train,-1.423050880432129,0.1635683923959732,-1.4188064336776733,-1.4261250495910645,1.3234446048736572,0.09960632771253586,0.0001556978968437761,-1.1703930795192719e-05,0.9995007514953613,1.144828274846077e-05,1.3005261280341074e-05,0.020274080336093903,0.0,1.000000238418579,5.485862856313565e-05,0.0023703540209680796,0.0023703540209680796,0.0,2052096,0.5193224172107875,7887.200444762384,,,,,,,,,
510,grpo_train,-1.350852131843567,0.17997834086418152,-1.3476886749267578,-1.3544230461120605,1.251270055770874,0.09958191215991974,0.00016791076632216573,-5.520880222320557e-06,0.9995298385620117,5.247071385383606e-06,6.926179139554733e-06,0.019830234348773956,0.0,0.9999998211860657,5.344522113814897e-05,0.001990731805562973,0.001990731805562973,0.0,2093056,0.6546352081932127,6256.919806230592,,,,,,,,,
520,grpo_train,-1.4339184761047363,0.21040834486484528,-1.4319500923156738,-1.435886025428772,1.334336519241333,0.09958191215991974,0.0001758698490448296,-2.5958754122257233e-05,0.9990701675415039,2.5753863155841827e-05,2.7512562155607156e-05,0.019718945026397705,0.0,0.9999998807907104,5.203334809218819e-05,0.005638533737510443,0.005638533737510443,0.0,2134016,0.6207250826992095,6598.734470642999,,,,,,,,,
530,grpo_train,-1.4016003608703613,0.16482600569725037,-1.3988139629364014,-1.4043304920196533,1.301957368850708,0.09964294731616974,0.00017555791418999434,1.1110678315162659e-05,0.9994485378265381,-1.1385418474674225e-05,-9.629839041735977e-06,0.019798047840595245,0.0,0.9999995231628418,5.0624402773492234e-05,0.0030353786423802376,0.0030353786423802376,0.0,2174976,0.6153677091933787,6656.182862388114,,,,,,,,,
540,grpo_train,-1.4065477848052979,0.07439757138490677,-1.4033252000808716,-1.4095617532730103,1.3069965839385986,0.09955138713121414,0.0001653569343034178,3.3550895750522614e-07,0.9994333982467651,-7.692724466323853e-07,8.842968099997961e-07,0.02006860449910164,0.0,1.0000001192092896,4.921977564098656e-05,0.007280106656253338,0.007280106656253338,0.0,2215936,0.5923346248455346,6915.0102462237965,,,,,,,,,
550,grpo_train,-1.3645055294036865,0.19121429324150085,-1.361943006515503,-1.367061972618103,1.2648931741714478,0.09961242973804474,0.00015928520588204265,-8.40798020362854e-06,0.9993432760238647,8.466653525829315e-06,1.0059505257231649e-05,0.020366095006465912,0.0,0.9999998211860657,4.782085289206831e-05,0.0020095878280699253,0.0020095878280699253,0.0,2256896,0.6440401659347117,6359.8517866589455,,,,,,,,,
560,grpo_train,-1.3246177434921265,0.21288013458251953,-1.321211576461792,-1.3297431468963623,1.2250449657440186,0.09957275539636612,0.00015841644199099392,-5.456153303384781e-06,0.999598503112793,5.225185304880142e-06,6.809349542891141e-06,0.020388800650835037,0.0,0.9999998807907104,4.642901509459665e-05,0.0018362796399742365,0.0018362796399742365,0.0,2297856,0.6363540003076196,6436.668895017482,,,,,,,,,
570,grpo_train,-1.369009256362915,0.09256654977798462,-1.3651554584503174,-1.3728854656219482,1.2694090604782104,0.09960021823644638,0.0001651435741223395,-9.068753570318222e-07,0.9996035695075989,8.328352123498917e-07,2.4842709080985514e-06,0.020197326317429543,0.0,1.0000001192092896,4.504563582443907e-05,0.0013142074458301067,0.0013142074458301067,0.0,2338816,0.6749512082897127,6068.586809969608,,,,,,,,,
580,grpo_train,-1.4535536766052246,0.14683063328266144,-1.4497007131576538,-1.457578420639038,1.3540022373199463,0.09955139458179474,0.00017317211313638836,6.420537829399109e-06,0.9995565414428711,-6.7157670855522156e-06,-4.984045972378226e-06,0.02025580033659935,0.0,0.9999998807907104,4.36720803099178e-05,0.0028178151696920395,0.0028178151696920395,0.0,2379776,0.55792879126966,7341.438664025331,,,,,,,,,
590,grpo_train,-1.4507527351379395,0.09911324083805084,-1.4479541778564453,-1.4539626836776733,1.3512043952941895,0.09954833984375,0.00016857119044288993,-2.132728695869446e-06,0.9995162487030029,2.0759180188179016e-06,3.7616298413922777e-06,0.02038656361401081,0.0,1.0,4.2309704084494345e-05,0.0014291290426626801,0.0014291290426626801,0.0,2420736,0.584739541169256,7004.828152735427,,,,,,,,,
599,validation,,,,,,,,,,,,0.020617824513465166,,,,,,,,,,1.5183556795120239,4.564713169359675,0.547314453125,0.9957923620939255,1.0,8.0,1.0,0.0,0.5284929997287691
600,grpo_train,-1.4311175346374512,0.15979772806167603,-1.4282859563827515,-1.4338523149490356,1.3315355777740479,0.09958191215991974,0.00016628179582767189,3.9173755794763565e-06,0.9993036389350891,-3.9478763937950134e-06,-2.285058599227341e-06,0.02050936222076416,0.0,0.9999999403953552,4.09598516490215e-05,0.0015267591224983335,0.0015267591224983335,0.0,2461696,0.49730158410966396,8236.450739108763,,,,,,,,,
